銘柄名,銘柄コード,市場
Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,1484.T,JP
ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,1485.T,JP
上場インデックスファンド米国債券（為替ヘッジなし）,1486.T,JP
上場インデックスファンド米国債券（為替ヘッジあり）,1487.T,JP
ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,1488.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,1489.T,JP
ハッチ・ワーク,148A.T,JP
上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,1490.T,JP
中外鉱業,1491.T,JP
Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,1493.T,JP
Ｏｎｅ　ＥＴＦ　高配当日本株,1494.T,JP
上場インデックスファンドアジアリート,1495.T,JP
ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,1496.T,JP
ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,1497.T,JP
Ｏｎｅ　ＥＴＦ　ＥＳＧ,1498.T,JP
ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,1499.T,JP
シンカ,149A.T,JP
ＪＳＨ,150A.T,JP
住石ホールディングス,1514.T,JP
日鉄鉱業,1515.T,JP
三井松島ホールディングス,1518.T,JP
ダイブ,151A.T,JP
オプティ,152A.T,JP
カウリス,153A.T,JP
純金上場信託（現物国内保管型）,1540.T,JP
純プラチナ上場信託（現物国内保管型）,1541.T,JP
純銀上場信託（現物国内保管型）,1542.T,JP
純パラジウム上場信託（現物国内保管型）,1543.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,1545.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,1546.T,JP
上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,1547.T,JP
ＧＡＩＡ,154A.T,JP
ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,1550.T,JP
東証スタンダードＴＯＰ２０ＥＴＦ,1551.T,JP
上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,1554.T,JP
上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,1555.T,JP
ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,1557.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,1559.T,JP
情報戦略テクノロジー,155A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,1560.T,JP
東証グロース・コアＥＴＦ,1563.T,JP
上場インデックスファンド新興国債券,1566.T,JP
ＴＯＰＩＸブル２倍上場投信,1568.T,JP
ＴＯＰＩＸベア上場投信,1569.T,JP
マテリアルグループ,156A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,1570.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,1571.T,JP
中国Ｈ株ブル２倍上場投信,1572.T,JP
中国Ｈ株ベア上場投信,1573.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,1577.T,JP
上場インデックスファンド日経２２５（ミニ）,1578.T,JP
日経平均ブル２倍上場投信,1579.T,JP
グリーンモンスター,157A.T,JP
日経平均ベア上場投信,1580.T,JP
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1585.T,JP
上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1586.T,JP
エクセリ,158A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,1591.T,JP
上場インデックスファンドＪＰＸ日経インデックス４００,1592.T,JP
ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,1593.T,JP
ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,1595.T,JP
ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1596.T,JP
ＭＡＸＩＳ　Ｊリート上場投信,1597.T,JP
ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,1599.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,159A.T,JP
ＩＮＰＥＸ,1605.T,JP
アズパートナーズ,160A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,1615.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,1617.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,1618.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,1619.T,JP
三葉,161A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,1620.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,1621.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,1622.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,1623.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,1624.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,1625.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,1626.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,1627.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,1628.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,1629.T,JP
ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,162A.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,1630.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,1631.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,1632.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,1633.T,JP
半導体フォーカス　日本株（ネットリターン）ＥＴＮ,163A.T,JP
アップルパーク,164A.T,JP
ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,1651.T,JP
ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,1652.T,JP
ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,1653.T,JP
ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,1654.T,JP
ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,1655.T,JP
ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,1656.T,JP
ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,1657.T,JP
ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,1658.T,JP
ｉシェアーズ　米国リート　ＥＴＦ,1659.T,JP
ＳＢＩレオスひふみ,165A.T,JP
ＭＡＸＩＳ高利回りＪリート上場投信,1660.T,JP
石油資源開発,1662.T,JP
Ｋ＆Ｏエナジーグループ,1663.T,JP
タスキホールディングス,166A.T,JP
ＷＴＩ原油価格連動型上場投信,1671.T,JP
ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,1672.T,JP
ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,1673.T,JP
ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,1674.T,JP
ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,1675.T,JP
ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,1676.T,JP
上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,1677.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,1678.T,JP
Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,1679.T,JP
リョーサン菱洋ホールディングス,167A.T,JP
上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,1680.T,JP
上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,1681.T,JP
ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,1684.T,JP
ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,1685.T,JP
ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,1686.T,JP
ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,1687.T,JP
ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,1688.T,JP
ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,1689.T,JP
イタミアート,168A.T,JP
ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,1690.T,JP
ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,1691.T,JP
ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,1692.T,JP
ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,1693.T,JP
ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,1694.T,JP
ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,1695.T,JP
ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,1696.T,JP
ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,1697.T,JP
上場インデックスファンド日本高配当（東証配当フォーカス１００）,1698.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,1699.T,JP
ＳＭＴ　ＥＴＦ日本好配当株アクティブ,170A.T,JP
ＳＤＳホールディングス,1711.T,JP
ダイセキ環境ソリューション,1712.T,JP
第一カッター興業,1716.T,JP
明豊ファシリティワークス,1717.T,JP
美樹工業,1718.T,JP
安藤・間,1719.T,JP
ゼロジャパン,171A.T,JP
東急建設,1720.T,JP
コムシスホールディングス,1721.T,JP
日本電技,1723.T,JP
シンクレイヤ,1724.T,JP
ビーアールホールディングス,1726.T,JP
ネオホーム,172A.T,JP
オーテック,1736.T,JP
ハンモック,173A.T,JP
コーアツ工業,1743.T,JP
エージェンテック,174A.T,JP
創建エース,1757.T,JP
太洋基礎工業,1758.T,JP
Ｗｉｌｌ　Ｓｍａｒｔ,175A.T,JP
高松コンストラクショングループ,1762.T,JP
工藤建設,1764.T,JP
東建コーポレーション,1766.T,JP
ソネック,1768.T,JP
レジル,176A.T,JP
藤田エンジニアリング,1770.T,JP
ワイ・ティー・エル・コーポレーション・バーハッド,1773.T,JP
三井住建道路,1776.T,JP
コージンバイオ,177A.T,JP
ヤマウラ,1780.T,JP
ｆａｎｔａｓｉｓｔａ,1783.T,JP
オリエンタル白石,1786.T,JP
ナカボーテック,1787.T,JP
三東工業社,1788.T,JP
グローバルＸ　革新的優良企業　ＥＴＦ,178A.T,JP
大本組,1793.T,JP
マサル,1795.T,JP
守谷商会,1798.T,JP
第一建設工業,1799.T,JP
グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,179A.T,JP
大成建設,1801.T,JP
大林組,1802.T,JP
清水建設,1803.T,JP
佐藤渡辺,1807.T,JP
長谷工コーポレーション,1808.T,JP
グローバルＸ　超長期米国債　ＥＴＦ,180A.T,JP
松井建設,1810.T,JP
錢高組,1811.T,JP
鹿島建設,1812.T,JP
不動テトラ,1813.T,JP
大末建設,1814.T,JP
鉄建建設,1815.T,JP
ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,181A.T,JP
西松建設,1820.T,JP
三井住友建設,1821.T,JP
大豊建設,1822.T,JP
佐田建設,1826.T,JP
ナカノフドー建設,1827.T,JP
田辺工業,1828.T,JP
ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,182A.T,JP
奥村組,1833.T,JP
東鉄工業,1835.T,JP
ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,183A.T,JP
土屋ホールディングス,1840.T,JP
サンユー建設,1841.T,JP
大盛工業,1844.T,JP
イチケン,1847.T,JP
富士ピー・エス,1848.T,JP
学びエイド,184A.T,JP
南海辰村建設,1850.T,JP
淺沼組,1852.T,JP
森組,1853.T,JP
リサイクルテック・ジャパン,185A.T,JP
戸田建設,1860.T,JP
熊谷組,1861.T,JP
北野建設,1866.T,JP
植木組,1867.T,JP
アストロスケールホールディングス,186A.T,JP
矢作建設工業,1870.T,JP
ピーエス・コンストラクション,1871.T,JP
日本ハウスホールディングス,1873.T,JP
大東建託,1878.T,JP
新日本建設,1879.T,JP
東亜道路工業,1882.T,JP
日本道路,1884.T,JP
東亜建設工業,1885.T,JP
日本国土開発,1887.T,JP
若築建設,1888.T,JP
グローバルＸ　インド・トップ１０＋　ＥＴＦ,188A.T,JP
東洋建設,1890.T,JP
五洋建設,1893.T,JP
金下建設,1897.T,JP
世紀東急工業,1898.T,JP
福田組,1899.T,JP
Ｄ＆Ｍカンパニー,189A.T,JP
大成温調,1904.T,JP
テノックス,1905.T,JP
日本ドライケミカル,1909.T,JP
Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,190A.T,JP
住友林業,1911.T,JP
日本基礎技術,1914.T,JP
ミモザ,191A.T,JP
巴コーポレーション,1921.T,JP
大和ハウス工業,1925.T,JP
ライト工業,1926.T,JP
積水ハウス,1928.T,JP
日特建設,1929.T,JP
インテグループ,192A.T,JP
北陸電気工事,1930.T,JP
ユアテック,1934.T,JP
日本リーテック,1938.T,JP
四電工,1939.T,JP
グローベルス,193A.T,JP
中電工,1941.T,JP
関電工,1942.T,JP
きんでん,1944.T,JP
東京エネシス,1945.T,JP
トーエネック,1946.T,JP
弘電社,1948.T,JP
住友電設,1949.T,JP
ＷＯＬＶＥＳ　ＨＡＮＤ,194A.T,JP
日本電設工業,1950.T,JP
エクシオグループ,1951.T,JP
新日本空調,1952.T,JP
九電工,1959.T,JP
ライスカレー,195A.T,JP
サンテック,1960.T,JP
三機工業,1961.T,JP
日揮ホールディングス,1963.T,JP
中外炉工業,1964.T,JP
テクノ菱和,1965.T,JP
高田工業所,1966.T,JP
ヤマト,1967.T,JP
太平電業,1968.T,JP
高砂熱学工業,1969.T,JP
ＭＦＳ,196A.T,JP
三晃金属工業,1972.T,JP
朝日工業社,1975.T,JP
明星工業,1976.T,JP
大氣社,1979.T,JP
タウンズ,197A.T,JP
ダイダン,1980.T,JP
協和日成,1981.T,JP
日比谷総合設備,1982.T,JP
ＰｏｓｔＰｒｉｍｅ,198A.T,JP
神田通信機,1992.T,JP
高橋カーテンウォール工業,1994.T,JP
暁飯島工業,1997.T,JP
メディエア,199A.T,JP
ニップン,2001.T,JP
日清製粉グループ本社,2002.T,JP
日東富士製粉,2003.T,JP
昭和産業,2004.T,JP
鳥越製粉,2009.T,JP
ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,200A.T,JP
ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,2011.T,JP
ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,2012.T,JP
ｉシェアーズ　米国高配当株　ＥＴＦ,2013.T,JP
ｉシェアーズ　米国連続増配株　ＥＴＦ,2014.T,JP
ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,2015.T,JP
ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,2016.T,JP
ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,2017.T,JP
グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,2018.T,JP
グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,2019.T,JP
ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,201A.T,JP
豆蔵デジタルホールディングス,202A.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,2031.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,2032.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,2033.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,2034.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,2036.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,2037.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,2038.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,2039.T,JP
シュンビン,203A.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,2040.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,2041.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ,2042.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ,2043.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ,2044.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ,2045.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ,2046.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ,2047.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ,2048.T,JP
タイヨーパッケージ,204A.T,JP
ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ,2050.T,JP
